source,suite,label,n,pass_rate,pass_rate_ci95_low,pass_rate_ci95_high,review_rate,block_rate,candidate_rate,srs_mean,srs_p50,srs_p95
InjecAgent,base,malicious,1054,0.9838709677419355,0.9743219137889809,0.9899057514200564,0.016129032258064516,0.0,0.016129032258064516,0.08755577229601517,0.08337800000000001,0.12143654999999995
InjecAgent,clean,benign,17,1.0,0.8156818649911483,1.0,0.0,0.0,0.0,0.0789555294117647,0.075611,0.10165339999999999
InjecAgent,enhanced,malicious,1054,0.0,0.0,0.0036314126173279987,0.0,1.0,1.0,0.2844548681214421,0.2795845,0.3154928
HouYi,clean,benign,17,1.0,0.8156818649911483,1.0,0.0,0.0,0.0,0.0789555294117647,0.075611,0.10165339999999999
HouYi,seed_population,malicious,1275,0.672156862745098,0.6459064081406232,0.6973730476293136,0.2603921568627451,0.06745098039215686,0.28705882352941176,0.06227419294117647,0.048877,0.23915530000000002
